lat,lon,h

50.9291817950261,5.39738767859648,79.3780795792118
50.9291779203048,5.39738400196855,79.3780795978382
50.9291739750311,5.39738038236139,79.3780796583742
50.9291699649527,5.39737710927305,79.3780797580257
50.9291658965388,5.39737403239323,79.3780798958614
50.9291617534602,5.39737100132141,79.378080076538
50.9291576135283,5.39736809144755,79.3780802953988
50.9291534977714,5.39736523087647,79.3780805515125
50.9291493620219,5.39736235799875,79.3780808476731
50.9291452277751,5.39735956689803,79.3780811829492
50.9291409539869,5.39735689449697,79.3780815638602
50.9291366933603,5.3973541836228,79.3780819857493
50.9291325576048,5.39735116556816,79.3780824476853
50.9291284876882,5.39734790536285,79.3780829496682
50.9291244894467,5.39734450173085,79.3780834879726
50.9291205153183,5.39734087801253,79.3780840709805
50.9291166442937,5.39733725334893,79.3780846819282
50.9291126751758,5.39733354966757,79.3780853496864
50.9291087998597,5.39732987557798,79.3780860435218
50.9291049698927,5.39732611300491,79.37808677461
50.9291011708582,5.39732221549535,79.3780875466764
50.929097345197,5.39731831212754,79.378088362515
50.9290934227869,5.39731448611808,79.3780892333016
50.9290894921219,5.39731076514008,79.3780901366845
50.9290855991907,5.39730721104404,79.3780910661444
50.9290815752172,5.39730372400193,79.3780920561403
50.9290775842789,5.3973003948653,79.3780930666253
50.929073561526,5.39729706226481,79.3780941264704
50.9290695181418,5.397293761999,79.3780952291563
50.9290654497193,5.39729043914752,79.3780963765457
50.9290614394762,5.39728710649031,79.3780975509435
50.9290574081884,5.39728374743952,79.3780987756327
50.9290533169954,5.39728041252654,79.3781000515446
50.9290492908711,5.39727719670645,79.3781013442203
50.9290452510905,5.39727405111825,79.378102671355
50.9290411313749,5.39727094711949,79.378104057163
50.9290369666083,5.39726790018152,79.3781054904684
50.929032819668,5.39726492730705,79.3781069507822
50.929028660797,5.39726186638437,79.3781084641814
50.9290244825554,5.39725912547514,79.3781099943444
50.9290201589425,5.39725692147687,79.3781115533784
50.9290157048186,5.39725508123094,79.3781131589785
50.9290112391053,5.39725374712506,79.3781147561967
50.929006757784,5.39725310102379,79.3781163273379
50.9290022217303,5.39725305707117,79.3781178919598
50.9289976595707,5.39725351014212,79.3781194565818
50.9289931960472,5.39725458301671,79.3781209588051
50.9289887601003,5.39725611693808,79.3781224470586
50.9289844328392,5.3972580848215,79.3781238878146
50.9289801436555,5.39726036557532,79.3781253220513
50.9289759425709,5.39726293047667,79.378126735799
50.9289718153362,5.39726575397502,79.3781281309202
50.9289676865162,5.39726879647092,79.3781295502558
50.9289636591726,5.39727220512797,79.3781309304759
50.92895979937,5.39727596051818,79.3781322492287
50.9289560383687,5.39727998037977,79.3781335428357
50.9289524245745,5.39728429912177,79.3781347870827
50.9289489304781,5.39728901488451,79.3781359866261
50.9289454718803,5.39729375887154,79.3781372085214
50.9289420477926,5.39729850275355,79.378138454631
50.9289387807955,5.3973035820836,79.3781396467239
50.9289357682354,5.39730894138774,79.3781407391652
50.9289328748433,5.39731442789875,79.3781418083236
50.9289300790989,5.39732005208687,79.3781428588554
50.9289273408941,5.39732577645738,79.3781439177692
50.9289246391565,5.39733153641845,79.3781449971721
50.9289219857416,5.39733733456389,79.3781460905448
50.9289194287979,5.39734320441773,79.3781471708789
50.928916964223,5.3973492070217,79.3781482391059
50.9289145465281,5.39735522444246,79.3781493240967
50.9289121411926,5.39736133022411,79.3781504379585
50.9289096607888,5.39736735194224,79.3781516337767
50.9289071036536,5.39737328916666,79.3781529124826
50.9289046178558,5.39737928508561,79.3781541921198
50.9289022128893,5.39738542121106,79.3781554661691
50.9288998184786,5.39739147695211,79.3781567746773
50.9288973623051,5.39739743747115,79.37815815676
50.9288948918903,5.39740337873307,79.3781595854089
50.9288924260493,5.39740938932725,79.3781610531732
50.9288899612953,5.39741541790222,79.3781625591218
